TotalPop,UninsuredPop,MedHouseInc,GEOID
5006,195,38051,06037542502
3295,182,37589,06037542601
5934,222,60051,06037542602
7959,144,114388,06037543322
5696,200,74375,06037543503
1226,26,78393,06037550400
3548,114,47618,06037554101
6455,192,120176,06037554512
2758,83,97604,06037554513
2744,69,51896,06037554801
6378,147,73594,06037554802
2897,67,59018,06075026404
2495,127,179228,06075030600
3804,79,138182,06075031000
4551,13,35377,06075033201
4835,36,108198,06075011100
1790,24,63250,06075011700
1590,10,38063,06073005700
3953,62,104728,06073005800
2971,31,73696,06073006801
10106,742,109356,06073018611
2826,114,85500,06073019203
4068,262,54500,06073019501
4412,159,119667,06073019804
4264,158,49469,06073019805
8741,404,50972,06073020018
6524,407,60328,06073020108
2208,23,125132,06073020401
5025,201,85278,06073020404
8339,471,104227,06073020709
6155,413,76304,06073007800
3004,95,127250,06073008002
3841,115,114625,06073008349
5133,172,103114,06073008353
4939,148,93233,06073008357
6933,209,85714,06073008503
4620,124,81146,06073008506
5686,115,79827,06073008901
5095,115,69496,06073009107
767,5,,06073009901
5341,264,74118,06073010109
4807,148,110602,06073011100
2104,83,45688,06073012101
7132,312,139265,06037621104
3052,84,109671,06037621204
3740,182,92710,06037621324
3017,29,102057,06037621326
3202,81,63906,06037650003
4125,85,75994,06037650004
4758,246,137024,06037650401
4852,202,86690,06037651304
2521,12,90938,06037651401
5567,368,58413,06037650604
3064,161,80625,06037650605
6236,304,101341,06037651402
5091,89,214681,06037670324
3613,131,158125,06037670326
4730,62,193262,06037670328
4513,110,97788,06037670416
6862,76,155688,06037670602
5200,63,57260,06037700101
4506,22,43202,06037700102
3526,39,76637,06037700501
4387,0,73500,06037700502
4610,31,83333,06037700801
4092,93,85078,06037700802
1696,64,128333,06059042106
5175,117,86853,06059042109
3433,0,41875,06059062646
4016,109,74514,06059063201
5387,193,48206,06059063605
6583,261,69005,06059063702
5725,81,86884,06059063908
4939,217,84665,06059074108
5691,16,153672,06075016600
3008,34,54375,06075017902
3823,172,195905,06075021400
4556,210,160417,06075021700
2438,10,113281,06075022802
4856,112,88368,06075022901
2483,46,138571,06075022902
3240,106,117313,06075022903
4084,115,91845,06075023003
4082,168,80250,06075026403
4529,169,117663,06075030201
4348,182,146111,06075030302
5316,184,53483,06071010415
2645,126,51814,06071011900
9458,132,79293,06071007302
4865,144,75192,06071008200
7740,435,40701,06071009710
7582,282,66580,06071010412
7565,482,92855,06085512017
4661,106,156250,06085512031
5026,87,136118,06085512309
5884,114,109292,06085500600
5659,32,45000,06085500902
5093,207,84966,06085502001
7726,317,75515,06085502102
2735,100,91544,06085502202
6909,154,128889,06085502400
6746,475,179205,06085502500
5810,279,85809,06085503305
4373,210,87361,06085503306
6346,287,98378,06085503504
6781,199,128485,06085504315
7633,220,124963,06085504319
3591,125,56591,06015000202
3302,128,41875,06015000102
5963,255,66143,06011000300
5647,241,65238,06011000100
2358,16,45909,06111001302
5418,246,95938,06111001402
5106,231,53990,06111001503
3467,91,86332,06111005907
8324,387,102717,06111006100
3618,49,123625,06111006302
1997,16,204773,06111007300
5981,123,138201,06111007402
6469,129,164097,06111007507
5736,292,83914,06111008302
5574,208,123344,06111008402
4957,134,85703,06111001101
4103,165,97679,06111001401
5348,174,250001,06081605700
4110,105,92007,06081606300
4089,64,94688,06081607200
5221,161,190843,06085504414
5836,247,151944,06085504415
5584,103,116409,06073017601
3093,124,138879,06073000100
3207,60,70500,06073000600
3336,106,73421,06073012003
5992,73,36383,06073013203
3970,181,40987,06073013204
5205,241,73977,06073013301
5111,103,59637,06073013303
4780,181,88795,06073013307
4374,197,79053,06073013401
1302,31,103587,06073013415
6265,132,64089,06073013503
4103,125,71000,06073013506
5528,290,64022,06073013702
5051,141,86302,06073014002
3370,175,69306,06073014101
4112,118,56865,06073014804
6916,161,80476,06073019904
3910,158,85778,06097153403
10263,255,117070,06097153801
2631,45,103393,06097150100
7691,197,77690,06097150603
4915,126,108281,06097150702
3968,24,89792,06097151000
4970,338,62809,06097151301
3535,116,57679,06097152203
7207,89,104951,06097153005
8327,407,69280,06097153200
4266,85,94023,06097153502
4071,56,60901,06097153704
4966,75,83375,06097153901
3423,91,107740,06097150902
3841,141,63125,06097151306
3876,125,105909,06097153903
3644,127,104792,06097154100
4858,125,28047,06067006900
2420,60,57250,06067008137
5894,77,96563,06067008210
3623,104,60208,06067008404
2713,20,124738,06067008702
4761,106,71066,06067008905
4858,141,52207,06067008908
3861,139,53098,06067008910
3755,209,116250,06067000200
4771,189,70847,06073020025
3342,71,57128,06073020017
6847,200,86295,06073020022
4656,203,90885,06073020023
4029,86,76475,06073020105
5084,200,54179,06073020210
1818,70,119821,06073020710
5405,235,82806,06073020109
7789,203,146838,06013340002
4850,89,110208,06013343001
5610,53,250001,06013346102
6426,162,188247,06013347000
4008,184,224318,06013353001
4379,86,100950,06013356001
4514,205,64464,06013366001
4897,207,61196,06013375000
5150,159,76786,06013301000
3803,102,54702,06013307201
6257,377,60326,06013310000
4595,233,75603,06013313102
5634,270,90273,06013321200
5592,159,92543,06013330000
5236,235,69022,06013336101
8470,397,75854,06013337200
6097,205,126950,06013337300
7248,161,107946,06013359203
2850,53,102450,06013370000
3538,59,63839,06013386000
2271,59,107813,06013389100
1779,55,78929,06013389200
6561,355,39987,06013305000
2243,48,32474,06013312000
9278,370,65269,06013314104
3862,190,79658,06013315000
3671,199,98365,06013320001
7557,550,54750,06013307205
7653,90,73185,06013308001
7748,490,57500,06013314200
3787,114,113393,06037480201
5407,126,57802,06037480901
3299,75,66500,06037481300
3486,185,56159,06037481603
2739,42,42604,06037481714
4486,78,105227,06059110008
2799,180,101563,06059110011
6393,247,88361,06059110117
2355,75,186875,06059110118
8018,341,64904,06059110202
6980,237,93173,06059110301
4661,44,92656,06059110303
4906,154,97500,06059110401
3354,69,133250,06059110015
2959,23,118958,06059099512
4265,31,81694,06059099905
3248,105,129342,06059110006
5274,185,74318,06059110014
5631,126,80536,06059110104
4966,115,101691,06059110304
4254,171,85605,06059110607
4335,179,102115,06059099405
4779,165,96250,06059099406
4875,140,96509,06059099412
621,81,67656,06059099502
3352,0,39471,06059099509
4897,18,122143,06059099514
7230,307,50492,06059099601
7113,337,109922,06059099603
6157,164,87793,06059099703
6116,198,46912,06059099904
5148,226,128674,06059110007
2677,64,91597,06059110108
8902,392,110605,06065042008
5820,168,57366,06065042206
2635,70,130625,06065042208
4675,209,65833,06065042406
3411,267,73056,06065042407
9138,454,58301,06065042506
3795,299,31956,06065042515
5149,351,69531,06065042708
10637,381,50568,06065042904
7243,427,42576,06065043003
2892,68,36528,06065043308
4559,282,47279,06065043312
4831,151,24887,06065043405
6592,141,47930,06065043506
4328,30,44223,06065043701
2090,58,116513,06065042401
12367,673,155461,06085504504
8116,240,197031,06085507703
3941,128,123623,06085506502
4387,227,102436,06085506605
4468,149,117917,06085506606
3383,78,192979,06085507807
3230,175,44623,06037540700
5629,164,58929,06037404702
4897,104,64628,06037403721
3174,50,83750,06037403901
6277,278,64643,06037404100
4196,111,61921,06037404802
6029,106,80042,06037405001
5550,229,103484,06037406601
5198,82,91591,06037406602
4949,85,84458,06037407301
6744,194,75664,06037407702
2572,64,32266,06037123206
4530,77,57031,06037123301
3720,211,49833,06037534302
5632,192,75972,06037920029
3979,206,99620,06037920040
7130,356,146310,06037920043
2933,142,127625,06037920104
3136,62,61629,06037534802
3736,150,51475,06037534804
4913,94,140918,06059042323
2526,65,216818,06059042328
3472,74,100842,06059042339
6480,169,172422,06059062633
4067,127,106957,06059062636
5376,216,88986,06059062641
3705,126,95179,06111006800
3786,99,160156,06111008305
5271,170,91958,06111008401
3373,105,122000,06111001700
7385,321,122545,06111001202
3036,87,78818,06111001204
4794,214,39464,06073020207
6597,148,131719,06073020706
6379,258,64589,06073020806
2235,34,92908,06073020902
2223,44,58558,06073020904
5881,297,153493,06073008327
7345,261,81214,06073008502
7812,376,85707,06073008507
7369,254,82500,06073008509
7083,214,62753,06073008510
7124,194,119980,06073009505
4883,209,85048,06073009509
4232,94,121116,06073009705
0,0,,06073009902
5218,343,62250,06073010004
6284,193,46354,06073010103
6700,152,154417,06059042112
6813,272,136211,06059042205
7090,526,125709,06059042307
1260,74,61667,06111001601
3032,47,144946,06111006200
7186,231,128147,06111007506
0,0,,06037990100
0,0,,06037990300
5692,260,74107,06039000106
2161,53,55694,06039000109
0,0,,06037990200
6669,183,67358,06039000108
8718,143,73311,06039000201
5738,287,73060,06039000202
5963,256,39455,06039000603
5485,332,34239,06039000604
6142,116,125833,06041102202
5761,274,70344,06041102203
4280,115,103344,06041109001
3851,108,111888,06041109002
8175,843,49333,06041112201
4771,380,62886,06041112202
3601,61,84056,06041119201
3546,117,194808,06041119202
3232,43,133611,06041130201
4377,14,105913,06041130202
1234,85,138750,06041131100
4625,111,46699,06037128102
4369,61,48173,06037128601
3472,106,85284,06037128602
3419,127,65449,06037128801
4670,216,89735,06037128802
5587,198,71595,06037131701
3770,116,68083,06037131702
3463,145,83039,06037132001
3354,111,109891,06037132002
4645,120,73550,06037132101
5401,84,49838,06037132102
2653,76,80708,06037600601
5739,199,66520,06037276100
6014,227,139458,06037300100
4019,36,24851,06037302201
5569,27,44986,06037190301
3564,89,65438,06037197420
3904,241,47219,06037205110
7508,148,37330,06037208000
4472,146,30926,06037209401
7188,359,64386,06073010107
6061,122,60208,06073013000
2549,113,71719,06073013312
4608,88,136500,06037400207
3906,157,106875,06037400403
4268,25,135038,06037400404
2049,64,145417,06037400501
2074,22,107938,06037401303
5449,49,132026,06037401304
3294,162,83409,06037402001
4125,169,55946,06037402002
4080,287,50625,06037402303
4057,246,39427,06037402304
2875,164,55000,06037402405
3254,118,80000,06037402705
3834,153,69875,06037402706
5329,189,49679,06037402406
3270,224,48090,06037402803
4238,221,54063,06037402804
4363,264,56667,06037402903
3705,176,71637,06037402904
3519,218,54896,06037404201
4252,85,68537,06037404202
2638,99,76394,06037404503
5073,211,57206,06037404504
3469,157,61654,06037405301
5433,275,57159,06037405302
3862,114,95036,06037405701
4957,150,83558,06037405702
3082,61,83906,06037406701
6375,247,79990,06037406702
6346,344,52386,06045010600
4989,147,57344,06045010900
6344,271,41628,06045010700
1869,68,59348,06045010802
5673,207,46234,06045011300
2674,175,38345,06045010100
3542,55,38274,06045010200
3276,57,49853,06045010400
5322,100,63281,06045010801
4687,375,44298,06045010500
4115,104,49522,06045010300
5567,107,122927,06087101100
3054,98,91212,06087120302
5738,98,122596,06087120500
2328,28,115919,06087122202
3796,112,92847,06087122300
7156,297,88256,06087100200
5257,133,68967,06059075507
21127,929,88761,06059075515
3028,45,136875,06059075810
1938,60,184821,06085509901
4246,131,198468,06085510300
5416,315,104634,06085502909
5553,288,78607,06085512023
4359,123,148500,06085504202
4168,135,99125,06085505302
3923,149,173000,06085506603
7487,180,158826,06085508001
6564,104,250001,06085510001
4752,159,118000,06085506000
3705,125,248333,06085510400
2518,68,186250,06085508303
3408,122,209167,06085511905
8784,345,184091,06085512308
4592,87,108125,06085503211
7263,135,193466,06085503326
269,12,109583,06085504417
7372,352,105929,06085503115
4449,127,96979,06085503509
2931,85,161979,06085504320
4365,245,115398,06085505500
6063,223,149514,06085507905
6833,259,189453,06085511000
5760,118,95750,06041104102
6768,215,200625,06085508101
4708,124,144145,06085509202
3607,83,122180,06085509304
3806,124,109828,06085509401
5606,173,134496,06085509801
4960,199,162982,06067008509
4473,166,89231,06085512052
4451,126,106081,06085512053
4211,126,115664,06085512311
3624,194,128646,06085512312
5050,256,81607,06085512310
6522,469,81875,06085512314
3843,168,81579,06085512313
5952,246,121214,06085512509
7345,245,94095,06085512510
4634,178,66176,06085512603
4886,172,74421,06085512604
9578,98,40703,06085513000
5674,137,55945,06067003800
5832,162,60711,06067004001
5107,262,42297,06067004100
8155,439,41047,06067004601
5177,176,29595,06067004802
5824,160,57509,06067004904
5779,289,34110,06067005502
3143,163,91957,06067005701
6226,118,86919,06067008206
7012,145,141513,06067008501
6539,229,83171,06067009311
5745,210,61535,06073009201
7880,455,117409,06073009706
5431,166,44609,06073010010
